date,brand,racquet,grade,grip,used_price,new_price,sku
2026-08-07,Wilson,Wilson Clash 100L v3 Racquet,Grade B,"4 1/8""",219.0,289.0,UR8A08F
2026-08-07,Wilson,Wilson Clash 100L v3 Racquet,Grade C,"4 1/4""",199.0,289.0,UR8B13F
2026-08-07,Wilson,Wilson Clash 100L v3 Reverse Racquet,Grade B,"4 3/8""",219.0,289.0,UR8A11C
2026-08-07,Wilson,Wilson Clash 108 v3 Racquet,Grade B,"4 3/8""",209.0,299.0,UR0C23C
2026-08-07,Wilson,Wilson Clash 108 v3 Racquet,Grade B,"4 1/2""",209.0,299.0,UR8A12E
2026-08-07,Wilson,Wilson Clash 108 v3 Racquet,Grade B,"4 1/2""",209.0,299.0,UR0C03F
2026-08-07,Wilson,Wilson Ultra 100 v5 Racquet,Grade B,"4 1/8""",229.0,299.0,UR8B08F
2026-08-07,Wilson,Wilson Ultra 100 v5 Racquet,Grade A,"4 1/4""",239.0,299.0,UR8A05B
2026-08-07,Wilson,Wilson Ultra 100UL v5 Racquet,Grade B,"4 3/8""",209.0,279.0,UR0B25F
2026-08-07,Wilson,Wilson Ultra 111 v5 Racquet,Grade A,"4 3/8""",229.0,289.0,UR8A03A
2026-08-07,Wilson,Wilson Ultra 111 v5 Racquet,Grade A,"4 3/8""",229.0,289.0,UR8A07E
2026-08-07,Wilson,Wilson Ultra 111 v5 Racquet,Grade A,"4 3/8""",229.0,289.0,UR8A03F
2026-08-07,Wilson,Wilson Triad Three Racquet,Grade B,"4 1/4""",219.0,269.0,UR0C01B
2026-08-07,Head,Head Speed Tour 2026 Racquet,Grade A,"4 1/4""",209.0,269.0,UR0C19C
2026-08-07,Head,Head Speed Tour 2026 Racquet,Grade B,"4 3/8""",199.0,269.0,UR0C07F
2026-08-07,Head,Head Speed Tour 2026 Racquet,Grade C,"4 3/8""",189.0,269.0,UR0C35E
2026-08-07,Head,Head Speed MP 2026 Racquet,Grade A,"4 1/4""",209.0,259.0,UR8B03G
2026-08-07,Head,Head Speed MP 2026 Racquet,Grade A,"4 1/4""",209.0,259.0,UR8B05C
2026-08-07,Head,Head Speed Pro 2026 Racquet,Grade A,"4 1/2""",229.0,269.0,URD0E01E
2026-08-07,Head,Head Speed Team 2026 Racquet,Grade A,"4 1/4""",189.0,239.0,UR8B11G
2026-08-07,Head,Head Speed MP L 2026 Racquet,Grade A,"4 1/4""",199.0,249.0,UR8A13C
2026-08-07,Head,Head Speed Pro Legend 2025 Racquet,Grade B,"4 1/4""",219.0,269.0,UR0C29B
2026-08-07,Head,Head Speed Pro Legend 2025 Racquet,Grade C,"4 1/4""",199.0,269.0,UR0C29C
2026-08-07,Head,Head Speed MP Legend 2025 Racquet,Grade A,"4 3/8""",209.0,259.0,UR8B13B
2026-08-07,Head,Head Speed MP Racquet,Grade B,"4 1/2""",119.0,164.0,UR8B19C
2026-08-07,Head,Head Extreme Pro 2024 Racquet,Grade B,"4 1/2""",219.0,199.0,UR0C15A
2026-08-07,Head,Head Extreme Team 2024 Racquet,Grade A,"4 3/8""",149.0,169.0,UR8A17D
2026-08-07,Head,Head Extreme Tour Racquet,Grade A,"4 3/8""",109.0,159.0,UR0C03C
2026-08-07,Head,Head Extreme Tour Racquet,Grade A,"4 5/8""",159.0,159.0,UR0C15F
2026-08-07,Head,Head Extreme Team Racquet,Grade C,"4 1/4""",119.0,179.0,UR0C29F
2026-08-07,Head,Head Boom MP 2026 Racquet,Grade A,"4 3/8""",219.0,259.0,UR0C03E
2026-08-07,Head,Head Boom Pro Racquet,Grade B,"4 3/8""",139.0,159.0,UR8B18F
2026-08-07,Head,Head Boom Pro Racquet,Grade B,"4 1/2""",139.0,159.0,UR0B37C
2026-08-07,Head,Head Gravity Pro 2025 Racquet,Grade B,"4 1/4""",199.0,269.0,UR0C07D
2026-08-07,Head,Head Gravity Pro 2025 Racquet,Grade B,"4 1/4""",199.0,269.0,UR0C25A
2026-08-07,Head,Head Gravity Pro 2025 Racquet,Grade B,"4 1/4""",199.0,269.0,UR0C09A
2026-08-07,Head,Head Gravity Pro 2025 Racquet,Grade B,"4 1/4""",199.0,269.0,UR0C29D
2026-08-07,Head,Head Gravity Pro 2025 Racquet,Grade C,"4 1/4""",179.0,269.0,UR0B37E
2026-08-07,Head,Head Gravity Pro 2025 Racquet,Grade B,"4 3/8""",199.0,269.0,URD0D03D
2026-08-07,Head,Head Gravity Pro 2025 Racquet,Grade B,"4 1/2""",199.0,269.0,UR0C31F
2026-08-07,Head,Head Gravity Pro 2025 Racquet,Grade B,"4 1/2""",199.0,269.0,UR8A04G
2026-08-07,Head,Head Gravity Tour 2025 Racquet,Grade A,"4 3/8""",219.0,269.0,UR0B39F
